id,title,info,num_comments,num_votes,rating,time,difficulty,date,calories
1069071212478543,Majas Feldsalat mit Balsamicodressing,"mit Champignons, Cocktailtomaten und Sonnenblumenkernen",13,18,4.45,15,0,2008-06-04,Unbekannt
1069071212478543,Majas Feldsalat mit Balsamicodressing,"mit Champignons, Cocktailtomaten und Sonnenblumenkernen",13,18,4.45,15,0,2008-06-04,Unbekannt
1069141212480123,Gemischter grüner Salat mit angebratenem grünen Spargel,Spargel einmal anders,52,126,4.55,15,1,2008-06-04,203
1069141212480123,Gemischter grüner Salat mit angebratenem grünen Spargel,Spargel einmal anders,52,126,4.55,15,1,2008-06-04,203
1069361212490339,Hähnchen-Ananas-Curry mit Reis,"einfach, schnell, super lecker und prima zum Aufwärmen",792,0,4.67,20,1,2008-06-04,1023
1069791212561652,Überbackene Enchiladas mit Tzatziki,WW-geeignet,130,302,4.59,20,1,2008-06-04,Unbekannt
1070391212579983,Cannelloni mit Spinat und Frischkäse,"vegetarisch, schnell und superlecker",638,0,4.6,40,1,2008-06-04,Unbekannt
1070411212582973,Schwarzgefleckte Bohnen,mündlich überliefertes Originalrezept,6,12,4.07,25,1,2008-06-05,Unbekannt
1070571212644876,Exotic Blue,Unbekannt,2,3,3.0,3,0,2008-06-05,Unbekannt
1070751212653177,Swimming Pool,"Alkoholisch, spritzig",11,24,4.35,5,0,2008-06-05,Unbekannt
1070751212653177,Swimming Pool,"Alkoholisch, spritzig",11,24,4.35,5,0,2008-06-05,Unbekannt
1071171212690495,Pflaumenlikör,Unbekannt,19,15,4.29,45,0,2008-06-06,Unbekannt
1071621212758464,Lammbraten mit Rosmarinkartoffeln,für besondere Anlässe,13,20,4.68,30,1,2008-06-06,572
1072061212910092,Soljanka nach DDR-Rezept,Unbekannt,255,400,4.63,25,1,2008-06-08,Unbekannt
1072121212911603,"Apfel, mit Ziegenkäse überbacken",Perfekte und schnelle Vorspeise,36,54,4.46,10,0,2008-06-08,Unbekannt
1073211213003423,Nickis Hähnchen - Paprika - Pfanne,Eines meiner Leibgerichte,4,12,4.29,30,0,2008-06-09,949
1073451213009796,Weinender Tiger (Seua Rong Hai),"Lauwarmer, sehr scharfer Thai - Rindfleischsalat vom Grill oder aus der Pfanne",12,24,4.46,45,2,2008-06-09,Unbekannt
1073451213009796,Weinender Tiger (Seua Rong Hai),"Lauwarmer, sehr scharfer Thai - Rindfleischsalat vom Grill oder aus der Pfanne",12,24,4.46,45,2,2008-06-09,Unbekannt
1073731213081387,Misosuppe mit Gemüse und Tofu,"Würzig, leicht und schnell gemacht",38,51,4.45,25,0,2008-06-10,195
1073961213091071,Fetapfanne vom Grill,Unbekannt,114,180,4.65,15,0,2008-06-10,202
1074281213102248,Sizilianische Tomatensoße,Familienrezept,353,578,4.61,20,1,2008-06-10,88
1074391213109303,Schnelle Calzone,"für den großen Hunger, wie vom Pizzabäcker",341,592,4.51,30,0,2008-06-11,Unbekannt
1074661213168161,Zitronenreis,indische Reisspezialität,3,9,4.09,20,1,2008-06-11,Unbekannt
1075101213194395,Feldsalat mit Belugalinsen und lauwarmen Süßkartoffeln,leicht und low fat,42,89,4.51,15,0,2008-06-11,Unbekannt
1075101213194395,Feldsalat mit Belugalinsen und lauwarmen Süßkartoffeln,leicht und low fat,42,89,4.51,15,0,2008-06-11,Unbekannt
1075621213260053,Julies Kichererbsen-Bohnen-Curry,"vegetarisch, vegan und kalorienarm",43,80,4.38,3,0,2008-06-12,Unbekannt
1075621213260053,Julies Kichererbsen-Bohnen-Curry,"vegetarisch, vegan und kalorienarm",43,80,4.38,3,0,2008-06-12,Unbekannt
1075921213270747,Pulao,indische Reisspezialität,3,8,4.2,10,0,2008-06-12,Unbekannt
1075921213270747,Pulao,indische Reisspezialität,3,8,4.2,10,0,2008-06-12,Unbekannt
1076331213342238,Asiatische Salatsauce,Unbekannt,4,7,4.33,5,0,2008-06-13,Unbekannt
1076531213348739,Zwiebel-Sahne-Schnitzel aus dem Ofen,Unbekannt,89,140,4.54,25,1,2008-06-13,508
107671045236225,Hühnerbrust Sambal Olek,Unbekannt,226,329,4.37,15,0,2003-05-04,319
107671045236225,Hühnerbrust Sambal Olek,Unbekannt,226,329,4.37,15,0,2003-05-04,319
1077171213431826,Weltbester Tacosalat,Perfekter Partysalat,113,193,4.55,25,0,2008-06-14,Unbekannt
1077171213431826,Weltbester Tacosalat,Perfekter Partysalat,113,193,4.55,25,0,2008-06-14,Unbekannt
1077181213432342,Blumenkohl - Bhaji,indische Küche,34,45,4.09,45,1,2008-06-14,238
1077431213446716,Kokosmilch - Curry,Unbekannt,33,61,4.38,15,0,2008-06-14,Unbekannt
1077611213451182,Bowle Holger,Mixgetränk mit wenig Alkohol und Kirschjoghurt,1,0,0.0,5,0,2008-06-14,Unbekannt
