recept,kategorija,mesto
1023241207492838,71,10
1023241207492838,71,10
1024931207648502,14,0
1024931207648502,32,1
1024931207648502,34,2
1024931207648502,35,3
1024931207648502,49,4
1024931207648502,50,5
1024931207648502,95,6
1024931207648502,144,7
1024931207648502,9948,8
1025441207720439,15,0
1025441207720439,32,1
1025441207720439,49,2
1025441207720439,50,3
1025441207720439,71,4
1025441207720439,98,5
1025441207720439,110,6
1025441207720439,124,7
1025441207720439,211,8
1025441207720439,9947,9
1025441207720439,9948,10
1027471207907953,11,0
1027471207907953,12,1
1027471207907953,45,2
1027471207907953,50,3
1027641207921518,15,0
1027641207921518,15,0
1027641207921518,16,1
1027641207921518,16,1
1027641207921518,18,2
1027641207921518,18,2
1027641207921518,45,3
1027641207921518,45,3
1027641207921518,49,4
1027641207921518,49,4
1027641207921518,50,5
1027641207921518,50,5
1027641207921518,69,6
1027641207921518,69,6
1027641207921518,124,7
1027641207921518,124,7
1029001208105362,16,0
1029001208105362,21,1
1029001208105362,49,2
1029001208105362,50,3
1029001208105362,59,4
1029001208105362,69,5
1029001208105362,9947,6
1029001208105362,9948,7
1029801208179915,11,0
1029801208179915,45,1
1029801208179915,49,2
1029801208179915,50,3
1029801208179915,151,4
1030211208236698,18,0
1030211208236698,21,1
1030211208236698,22,2
1030211208236698,29,3
1030211208236698,66,4
1030211208236698,72,5
1030521208246623,15,0
1030521208246623,18,1
1030521208246623,25,2
1030521208246623,29,3
1030521208246623,65,4
1030521208246623,68,5
1030521208246623,77,6
1030521208246623,106,7
1030521208246623,124,8
1031071208280926,15,0
1031071208280926,15,0
1031071208280926,18,1
1031071208280926,18,1
1031071208280926,19,2
1031071208280926,19,2
1031071208280926,20,3
1031071208280926,20,3
1031071208280926,32,4
1031071208280926,32,4
1031071208280926,64,5
1031071208280926,64,5
1031071208280926,83,6
1031071208280926,83,6
1031071208280926,106,7
1031071208280926,106,7
1031071208280926,124,8
1031071208280926,124,8
103161042038860,16,0
103161042038860,21,1
103161042038860,34,2
103161042038860,50,3
103161042038860,58,4
103161042038860,140,5
103161042038860,144,6
103161042038860,9948,7
1031851208350994,15,0
1031851208350994,16,1
1031851208350994,27,2
1031851208350994,29,3
1031851208350994,49,4
1031851208350994,50,5
1031851208350994,65,6
1031851208350994,71,7
1031851208350994,124,8
1031851208350994,9947,9
1031851208350994,9948,10
1032981208435830,19,0
1032981208435830,23,1
1032981208435830,32,2
1032981208435830,42,3
1032981208435830,48,4
1032981208435830,49,5
1032981208435830,50,6
1032981208435830,71,7
1032981208435830,110,8
1032981208435830,120,9
1032981208435830,211,10
1033211208442407,18,0
1033211208442407,21,1
1033211208442407,27,2
1033211208442407,32,3
1033211208442407,34,4
1033211208442407,35,5
1033211208442407,45,6
1033211208442407,46,7
1033211208442407,49,8
1033211208442407,50,9
1033211208442407,69,10
1033211208442407,71,11
1033211208442407,91,12
1033321208446022,16,0
1033321208446022,16,0
1033321208446022,18,1
1033321208446022,18,1
1033321208446022,21,2
1033321208446022,21,2
1033321208446022,24,3
1033321208446022,24,3
1033321208446022,30,4
1033321208446022,30,4
1033321208446022,31,5
1033321208446022,31,5
1033321208446022,59,6
1033321208446022,59,6
1033321208446022,83,7
1033321208446022,83,7
1033741208508759,16,0
1033741208508759,21,1
1033741208508759,22,2
1033741208508759,34,3
1033741208508759,49,4
1033741208508759,50,5
1033741208508759,69,6
1033741208508759,106,7
1033741208508759,9947,8
1033741208508759,9948,9
1033811208509719,16,0
1033811208509719,18,1
1033811208509719,21,2
1033811208509719,29,3
1033811208509719,43,4
1033811208509719,50,5
1033811208509719,58,6
1033811208509719,79,7
1033811208509719,9947,8
1033811208509719,9948,9
1033931208517162,15,0
1033931208517162,18,1
1033931208517162,25,2
1033931208517162,29,3
1033931208517162,45,4
1033931208517162,49,5
1033931208517162,50,6
1033931208517162,61,7
1033931208517162,65,8
1033931208517162,71,9
1033931208517162,124,10
1033931208517162,7710,11
1033931208517162,9947,12
1033931208517162,9948,13
1033961208520095,16,0
1033961208520095,21,1
1033961208520095,45,2
1033961208520095,48,3
1033961208520095,50,4
1033961208520095,59,5
1033961208520095,63,6
1033961208520095,9948,7
1034291208531047,16,0
1034291208531047,18,1
1034291208531047,21,2
1034291208531047,24,3
1034291208531047,31,4
1034291208531047,34,5
1034291208531047,49,6
1034291208531047,50,7
1034291208531047,78,8
1034291208531047,144,9
1034291208531047,211,10
1034971208618963,15,0
1034971208618963,18,1
1034971208618963,19,2
1034971208618963,20,3
1034971208618963,27,4
1034971208618963,32,5
1034971208618963,48,6
1034971208618963,49,7
1034971208618963,50,8
1034971208618963,57,9
1034971208618963,77,10
1034971208618963,211,11
1034971208618963,3669,12
103501042187802,10,0
103501042187802,10,0
103501042187802,11,1
103501042187802,11,1
103501042187802,12,2
103501042187802,12,2
103501042187802,45,3
103501042187802,45,3
103501042187802,50,4
103501042187802,50,4
1035621208703311,11,0
1035621208703311,49,1
1035621208703311,50,2
1035621208703311,79,3
1035621208703311,151,4
1035911208722171,11,0
1035911208722171,32,1
1035911208722171,50,2
1035911208722171,57,3
1035911208722171,91,4
1035911208722171,109,5
1035911208722171,113,6
1035911208722171,7710,7
103621042299597,16,0
103621042299597,21,1
103621042299597,59,2
103621042299597,66,3
103621042299597,99,4
103621042299597,9947,5
103621042299597,9948,6
1037841208869881,15,0
1037841208869881,16,1
1037841208869881,18,2
1037841208869881,27,3
1037841208869881,45,4
1037841208869881,50,5
1037841208869881,94,6
1037841208869881,152,7
1038391208936958,14,0
1038391208936958,18,1
1038391208936958,21,2
1038391208936958,40,3
1038391208936958,41,4
1038391208936958,47,5
1038391208936958,58,6
1038391208936958,76,7
1038391208936958,140,8
1038391208936958,144,9
1038391208936958,155,10
1038391208936958,159,11
1038751208956793,13,0
1038751208956793,14,1
1038751208956793,18,2
1038751208956793,21,3
1038751208956793,32,4
1038751208956793,50,5
1038751208956793,57,6
1038751208956793,144,7
1038791208958724,13,0
1038791208958724,13,0
1038791208958724,14,1
1038791208958724,14,1
1038791208958724,21,2
1038791208958724,21,2
1038791208958724,32,3
1038791208958724,32,3
1038791208958724,57,4
1038791208958724,57,4
1038791208958724,64,5
1038791208958724,64,5
1038791208958724,81,6
1038791208958724,81,6
1038791208958724,138,7
1038791208958724,138,7
1038791208958724,144,8
1038791208958724,144,8
1038791208958724,165,9
1038791208958724,165,9
1039131209011542,14,0
1039131209011542,18,1
1039131209011542,19,2
1039131209011542,21,3
1039131209011542,40,4
1039131209011542,42,5
1039131209011542,47,6
1039131209011542,58,7
1039131209011542,76,8
1039131209011542,110,9
1039131209011542,144,10
1039131209011542,159,11
1040601209106842,16,0
1040601209106842,18,1
1040601209106842,21,2
1040601209106842,22,3
1040601209106842,29,4
1040601209106842,59,5
1040601209106842,64,6
1040601209106842,65,7
1040601209106842,99,8
1040601209106842,144,9
1040601209106842,9947,10
1040601209106842,9948,11
1040671209110651,11,0
1040671209110651,45,1
1040671209110651,50,2
1040671209110651,121,3
1040671209110651,126,4
1040751209113170,11,0
1040751209113170,12,1
1040751209113170,27,2
1040751209113170,50,3
1040751209113170,126,4
1040761209113310,11,0
1040761209113310,12,1
1040761209113310,50,2
1040761209113310,126,3
1040781209113809,11,0
1040781209113809,12,1
1040781209113809,50,2
1040781209113809,126,3
1041541209142380,19,0
1041541209142380,20,1
1041541209142380,32,2
1041541209142380,64,3
1041541209142380,99,4
1041541209142380,3669,5
1042021209208474,15,0
1042021209208474,15,0
1042021209208474,15,0
1042021209208474,18,1
1042021209208474,18,1
1042021209208474,18,1
1042021209208474,19,2
1042021209208474,19,2
1042021209208474,19,2
1042021209208474,20,3
1042021209208474,20,3
1042021209208474,20,3
1042021209208474,36,4
1042021209208474,36,4
1042021209208474,36,4
1042021209208474,48,5
1042021209208474,48,5
1042021209208474,48,5
1042021209208474,50,6
1042021209208474,50,6
1042021209208474,50,6
1042021209208474,71,7
1042021209208474,71,7
1042021209208474,71,7
1042021209208474,124,8
1042021209208474,124,8
1042021209208474,124,8
1042251209236572,13,0
1042251209236572,14,1
1042251209236572,23,2
1042251209236572,32,3
1042251209236572,52,4
1042251209236572,108,5
1042251209236572,134,6
1042911209283817,19,0
1042911209283817,20,1
1042911209283817,23,2
1042911209283817,42,3
1042911209283817,45,4
1042911209283817,49,5
1042911209283817,50,6
1042911209283817,52,7
1042911209283817,61,8
1042911209283817,71,9
1042911209283817,9948,10
1043141209290503,13,0
1043141209290503,14,1
1043141209290503,23,2
1043141209290503,50,3
1043141209290503,90,4
1043141209290503,92,5
1043141209290503,134,6
1043921209361948,13,0
1043921209361948,14,1
1043921209361948,19,2
1043921209361948,21,3
1043921209361948,32,4
1043921209361948,42,5
1043921209361948,144,6
1043921209361948,165,7
1044541209388802,18,0
1044541209388802,21,1
1044541209388802,24,2
1044541209388802,31,3
1044541209388802,32,4
1044541209388802,34,5
1044541209388802,48,6
1044541209388802,49,7
1044541209388802,50,8
1044541209388802,83,9
1044541209388802,137,10
1044791209447686,18,0
1044791209447686,18,0
1044791209447686,19,1
1044791209447686,19,1
1044791209447686,23,2
1044791209447686,23,2
1044791209447686,32,3
1044791209447686,32,3
1044791209447686,42,4
1044791209447686,42,4
1044791209447686,45,5
1044791209447686,45,5
1044791209447686,48,6
1044791209447686,48,6
1044791209447686,49,7
1044791209447686,49,7
1044791209447686,50,8
1044791209447686,50,8
1044791209447686,52,9
1044791209447686,52,9
1044791209447686,71,10
1044791209447686,71,10
1044791209447686,83,11
1044791209447686,83,11
1045051209456843,14,0
1045051209456843,16,1
1045051209456843,18,2
1045051209456843,21,3
1045051209456843,27,4
1045051209456843,48,5
1045051209456843,49,6
1045051209456843,50,7
1045051209456843,58,8
1045051209456843,116,9
1045051209456843,9948,10
1045251209462585,16,0
1045251209462585,16,0
1045251209462585,18,1
1045251209462585,18,1
1045251209462585,21,2
1045251209462585,21,2
1045251209462585,29,3
1045251209462585,29,3
1045251209462585,30,4
1045251209462585,30,4
1045251209462585,44,5
1045251209462585,44,5
1045251209462585,75,6
1045251209462585,75,6
1045251209462585,9948,7
1045251209462585,9948,7
1045571209477233,16,0
1045571209477233,21,1
1045571209477233,22,2
1045571209477233,50,3
1045571209477233,59,4
1045571209477233,79,5
1045571209477233,144,6
1045571209477233,150,7
1045571209477233,1147,8
1045571209477233,9947,9
1045571209477233,9948,10
1045691209479240,18,0
1045691209479240,21,1
1045691209479240,22,2
1045691209479240,23,3
1045691209479240,59,4
1045691209479240,74,5
1045691209479240,137,6
1045861209496580,13,0
1045861209496580,14,1
1045861209496580,18,2
1045861209496580,21,3
1045861209496580,58,4
1045861209496580,66,5
1047101209570503,13,0
1047101209570503,14,1
1047101209570503,18,2
1047101209570503,21,3
1047101209570503,61,4
1047521209584940,19,0
1047521209584940,20,1
1047521209584940,32,2
1047521209584940,34,3
1047521209584940,35,4
1047521209584940,45,5
1047521209584940,50,6
1047521209584940,51,7
1047521209584940,152,8
1047521209584940,9947,9
1047521209584940,9948,10
1047641209588578,11,0
1047641209588578,12,1
1047641209588578,45,2
1047641209588578,50,3
1047821209636544,16,0
1047821209636544,21,1
1047821209636544,22,2
1047821209636544,23,3
1047821209636544,45,4
1047821209636544,49,5
1047821209636544,50,6
1047821209636544,52,7
