id,title,num_votes,rating,url,time,difficulty,info
1678581275920535,Himbeer-Orangen-Smoothie,141,4.54,https://www.chefkoch.de/rezepte/1678581275920535/Himbeer-Orangen-Smoothie.html,5,0,Unbekannt
2825191434619728,Brombeer-Papaya Smoothie,15,4.53,https://www.chefkoch.de/rezepte/2825191434619728/Brombeer-Papaya-Smoothie.html,15,0,Unbekannt
2825161434618387,Baileys Irish Cream selber machen,47,4.51,https://www.chefkoch.de/rezepte/2825161434618387/Baileys-Irish-Cream-selber-machen.html,15,0,Unbekannt
1050181209976653,Bombay Crushed,16,4.5,https://www.chefkoch.de/rezepte/1050181209976653/Bombay-Crushed.html,15,0,Unbekannt
3236621481530780,Eggnog,27,4.48,https://www.chefkoch.de/rezepte/3236621481530780/Eggnog.html,20,0,"klassischer, amerikanischer Eierpunsch, für ca. 650 ml"
2556331400060550,Pina Colada,22,4.42,https://www.chefkoch.de/rezepte/2556331400060550/Pina-Colada.html,5,0,Unbekannt
2556311400060062,Ipanema,14,4.38,https://www.chefkoch.de/rezepte/2556311400060062/Ipanema.html,5,0,Unbekannt
3090651461743616,Mandelmilch selber machen (vegan),8,4.3,https://www.chefkoch.de/rezepte/3090651461743616/Mandelmilch-selber-machen-vegan.html,20,1,"für 1,5 Liter"
3348061497598632,Virgin Mojito,5,4.29,https://www.chefkoch.de/rezepte/3348061497598632/Virgin-Mojito.html,10,0,alkoholfreier Mojito mit Himbeer-Variante
3400721506451551,Ginger Ale selber machen,11,4.23,https://www.chefkoch.de/rezepte/3400721506451551/Ginger-Ale-selber-machen.html,25,0,Unbekannt
1416541246532572,Spritzige Erdbeerbowle,12,4.21,https://www.chefkoch.de/rezepte/1416541246532572/Spritzige-Erdbeerbowle.html,15,0,Unbekannt
3877071589886553,Whipped Frozen Lemonade,13,4.2,https://www.chefkoch.de/rezepte/3877071589886553/Whipped-Frozen-Lemonade.html,10,0,Unbekannt
3148831468834779,Goldene Milch,19,4.19,https://www.chefkoch.de/rezepte/3148831468834779/Goldene-Milch.html,10,0,"Ayurvedisches Power-Getränk, vegan"
1050161209976398,Papaya - Bananen - Smoothie,20,4.14,https://www.chefkoch.de/rezepte/1050161209976398/Papaya-Bananen-Smoothie.html,15,1,Unbekannt
3127131465974625,Rainbow Cocktail,30,4.13,https://www.chefkoch.de/rezepte/3127131465974625/Rainbow-Cocktail.html,10,2,mit und ohne Alkohol möglich
3195651475664502,Smoothies in 4 leckeren Varianten,7,4.11,https://www.chefkoch.de/rezepte/3195651475664502/Smoothies-in-4-leckeren-Varianten.html,10,0,"schnell, gesund &amp; lecker"
701451172755496,Caipirinha Sorbet mit Ananas,17,4.0,https://www.chefkoch.de/rezepte/701451172755496/Caipirinha-Sorbet-mit-Ananas.html,30,0,Unbekannt
3357201499161216,Berry Vanilla Sparkle,3,4.0,https://www.chefkoch.de/rezepte/3357201499161216/Berry-Vanilla-Sparkle.html,10,0,Beeren Limo mit Vanille
2556301400059830,Caipirinha,4,4.0,https://www.chefkoch.de/rezepte/2556301400059830/Caipirinha.html,5,0,Unbekannt
230111094475363,Zombi,8,4.2,https://www.chefkoch.de/rezepte/230111094475363/Zombi.html,5,0,Longdrink für den Sommer
2556311400060062,Ipanema,14,4.38,https://www.chefkoch.de/rezepte/2556311400060062/Ipanema.html,5,0,Unbekannt
3877071589886553,Whipped Frozen Lemonade,13,4.2,https://www.chefkoch.de/rezepte/3877071589886553/Whipped-Frozen-Lemonade.html,10,0,Unbekannt
3127131465974625,Rainbow Cocktail,30,4.13,https://www.chefkoch.de/rezepte/3127131465974625/Rainbow-Cocktail.html,10,2,mit und ohne Alkohol möglich
2556301400059830,Caipirinha,4,4.0,https://www.chefkoch.de/rezepte/2556301400059830/Caipirinha.html,5,0,Unbekannt
2103201339443879,Amerikanischer Egg Nog,32,4.76,https://www.chefkoch.de/rezepte/2103201339443879/Amerikanischer-Egg-Nog.html,35,1,Unbekannt
629891163497995,Solero - Cocktail,208,4.68,https://www.chefkoch.de/rezepte/629891163497995/Solero-Cocktail.html,5,0,"schmeckt wie Solero - Eis, sehr erfrischend"
1244191229350913,Pimm's,21,4.65,https://www.chefkoch.de/rezepte/1244191229350913/Pimm-s.html,5,0,Rezept meines britischen Onkels
3735221566824322,9 Pin Gin,12,4.64,https://www.chefkoch.de/rezepte/3735221566824322/9-Pin-Gin.html,2,0,"einfach, erfrischend, spritzig,fruchtig"
784291181660152,Erdbeer - Smoothie,164,4.58,https://www.chefkoch.de/rezepte/784291181660152/Erdbeer-Smoothie.html,15,1,Unbekannt
2571551402648710,Erdbeer-Mojito,9,4.55,https://www.chefkoch.de/rezepte/2571551402648710/Erdbeer-Mojito.html,10,0,fruchtig-minziges Getränk mit Schuss
2535071397144231,Moscow Mule,33,4.54,https://www.chefkoch.de/rezepte/2535071397144231/Moscow-Mule.html,10,0,"super frischer Aperitif, mal was anderes"
2350401373802829,Moscow Mule,28,4.53,https://www.chefkoch.de/rezepte/2350401373802829/Moscow-Mule.html,5,0,Cuisine Style Cocktail
620281162282043,Gin Fizz,13,4.53,https://www.chefkoch.de/rezepte/620281162282043/Gin-Fizz.html,3,0,Originalrezept
675821169907329,Lynchburg Lemonade,29,4.52,https://www.chefkoch.de/rezepte/675821169907329/Lynchburg-Lemonade.html,5,0,Whisky - Cocktail
620441162298092,Gin Tonic,23,4.52,https://www.chefkoch.de/rezepte/620441162298092/Gin-Tonic.html,5,0,Unbekannt
1418951246797332,Aperol Spritz,61,4.51,https://www.chefkoch.de/rezepte/1418951246797332/Aperol-Spritz.html,5,0,das In-Getränk vom Gardasee
643071165399096,Erdbeer Daiquiri No.1,84,4.51,https://www.chefkoch.de/rezepte/643071165399096/Erdbeer-Daiquiri-No-1.html,3,0,Unbekannt
