recept,sestavina
1021441207323773,"Limette(n), Saft davon"
1021441207323773,"Pilze, Thaipilze (od. frische Champignons)"
1021441207323773,Wasser 
1021441207323773,"Zitronengras, klopfen und dann in 3 cm lange Stücken"
1023231207492699,Gewürznelke(n) 
1023231207492699,Ghee 
1023231207492699,Grieß 
1023231207492699,Kardamomkapsel(n) 
1023231207492699,Kokosraspel 
1023231207492699,"Mandel(n), gehackte"
1023231207492699,Milch 
1023231207492699,"Pistazien, ungesalzene"
1023231207492699,Safranfäden 
1023231207492699,Schlagsahne 
1023231207492699,Sultaninen 
1023231207492699,Wasser 
1023231207492699,Zucker 
1023241207492838,Basilikum 
1023241207492838,Basilikum 
1023241207492838,"Bohnen, weiße "
1023241207492838,"Bohnen, weiße "
1023241207492838,Kapern 
1023241207492838,Kapern 
1023241207492838,Olivenöl 
1023241207492838,Olivenöl 
1023241207492838,Salz und Pfeffer 
1023241207492838,Salz und Pfeffer 
1023241207492838,Tomate(n) 
1023241207492838,Tomate(n) 
1023241207492838,Weinessig oder Kräuteressig
1023241207492838,Weinessig oder Kräuteressig
1023241207492838,Zwiebel(n) 
1023241207492838,Zwiebel(n) 
1024931207648502,"Apfel, fein gehackt"
1024931207648502,"Chilisauce, süße"
1024931207648502,"Currypulver, indisches"
1024931207648502,"Frühlingszwiebel(n), fein gehackt"
1024931207648502,Gemüsebrühe 
1024931207648502,"Ingwer, frischer, gehackt"
1024931207648502,"Knoblauchzehe(n), gehackt"
1024931207648502,Olivenöl 
1024931207648502,"Petersilie, fein gehackt"
1024931207648502,Salz 
1024931207648502,süße Sahne 
1025441207720439,"Ei(er), hartgekocht"
1025441207720439,Essig 
1025441207720439,Salz und Pfeffer 
1025441207720439,Schnittlauch 
1025441207720439,"Senf, mittelscharf"
1025441207720439,"Senf, scharf"
1025441207720439,Worcestersauce 
1025441207720439,Zucker 
1025441207720439,Öl 
1027471207907953,Amaretto 
1027471207907953,Baileys Irish Cream 
1027471207907953,Eis - Würfel
1027471207907953,Likör (Jägermeister)
1027641207921518,Eisbergsalat 
1027641207921518,Eisbergsalat 
1027641207921518,"Gehacktes, gemischtes"
1027641207921518,"Gehacktes, gemischtes"
1027641207921518,"Käse (Gouda), geriebener"
1027641207921518,"Käse (Gouda), geriebener"
1027641207921518,Mais 
1027641207921518,Mais 
1027641207921518,Miracel Whip 
1027641207921518,Miracel Whip 
1027641207921518,Nacho(s) 
1027641207921518,Nacho(s) 
1027641207921518,Naturjoghurt (kleiner Becher)
1027641207921518,Naturjoghurt (kleiner Becher)
1027641207921518,Paprikapulver 
1027641207921518,Paprikapulver 
1027641207921518,Paprikaschote(n) 
1027641207921518,Paprikaschote(n) 
1027641207921518,Pfeffer 
1027641207921518,Pfeffer 
1027641207921518,Salz 
1027641207921518,Salz 
1027641207921518,"Sauce (Salsa-Sauce, ca. 350 ml)"
1027641207921518,"Sauce (Salsa-Sauce, ca. 350 ml)"
1027641207921518,Schmand 
1027641207921518,Schmand 
1027641207921518,Tomate(n) 
1027641207921518,Tomate(n) 
1029001208105362,Cayennepfeffer 
1029001208105362,"Paprikapulver, edelsüß"
1029001208105362,"Pfeffer, schwarzer"
1029001208105362,Salz 
1029001208105362,Schlagsahne 
1029001208105362,Schweinelende(n) 
1029001208105362,Zwiebel(n) 
1029001208105362,Öl 
1029801208179915,Schnaps (Korn)
1029801208179915,Süßigkeiten (Wick Blau Bonbons)
1030211208236698,Fett (Thea Brat- und Saftmeister) oder Öl
1030211208236698,Mehl 
1030211208236698,Paprikapulver 
1030211208236698,Rinderfond oder Rinderbrühe
1030211208236698,Rindfleisch (Rostbraten)
1030211208236698,Salz und Pfeffer 
1030211208236698,Senf 
1030211208236698,"Wein, rot"
1030211208236698,Zwiebel(n) 
1030211208236698,Öl zum Ausbacken
1030521208246623,Fleischsalat 
1030521208246623,Gewürzgurke(n) 
1030521208246623,Gurkenflüssigkeit bei Bedarf
1030521208246623,Joghurt 
1030521208246623,Kapern 
